"Type of Crop","Year","Statistic Label","UNIT","VALUE"
"Winter wheat","2007","Crop Yield per Hectare","Tonnes","8.7"
"Winter wheat","2007","Crop Yield","000 Tonnes","562.5"
"Spring wheat","1985","Area under Crops","000 Hectares","17.4"
"Spring wheat","1985","Crop Yield per Hectare","Tonnes","5.8"
"Spring wheat","1985","Crop Yield","000 Tonnes","100"
"Spring wheat","1986","Area under Crops","000 Hectares","17.6"
"Spring wheat","1986","Crop Yield per Hectare","Tonnes","5.4"
"Spring wheat","1986","Crop Yield","000 Tonnes","95"
"Spring wheat","1987","Area under Crops","000 Hectares","17.8"
"Spring wheat","1987","Crop Yield per Hectare","Tonnes","6.2"
"Spring wheat","1987","Crop Yield","000 Tonnes","110"
"Spring wheat","1988","Area under Crops","000 Hectares","21.4"
"Spring wheat","1988","Crop Yield per Hectare","Tonnes","7"
"Spring wheat","1988","Crop Yield","000 Tonnes","150"
"Spring wheat","1989","Area under Crops","000 Hectares","17.7"
"Spring wheat","1989","Crop Yield per Hectare","Tonnes","6.2"
"Spring wheat","1989","Crop Yield","000 Tonnes","109"
"Spring wheat","1990","Area under Crops","000 Hectares","13.6"
"Spring wheat","1990","Crop Yield per Hectare","Tonnes","6.7"
"Spring wheat","1990","Crop Yield","000 Tonnes","92"
"Spring wheat","1991","Area under Crops","000 Hectares","18.8"
"Spring wheat","1991","Crop Yield per Hectare","Tonnes","6.7"
"Spring wheat","1991","Crop Yield","000 Tonnes","125"
"Spring wheat","1992","Area under Crops","000 Hectares","17.3"
"Spring wheat","1992","Crop Yield per Hectare","Tonnes","7.4"
"Spring wheat","1992","Crop Yield","000 Tonnes","127"
"Spring wheat","1993","Area under Crops","000 Hectares","22"
"Spring wheat","1993","Crop Yield per Hectare","Tonnes","7.1"
"Spring wheat","1993","Crop Yield","000 Tonnes","155"
"Spring wheat","1994","Area under Crops","000 Hectares","17.9"
"Spring wheat","1994","Crop Yield per Hectare","Tonnes","6.4"
"Spring wheat","1994","Crop Yield","000 Tonnes","114"
"Spring wheat","1995","Area under Crops","000 Hectares","18.9"
"Spring wheat","1995","Crop Yield per Hectare","Tonnes","7"
"Spring wheat","1995","Crop Yield","000 Tonnes","132"
"Spring wheat","1996","Area under Crops","000 Hectares","18.5"
"Spring wheat","1996","Crop Yield per Hectare","Tonnes","7.5"
"Spring wheat","1996","Crop Yield","000 Tonnes","138.7"
"Spring wheat","1997","Area under Crops","000 Hectares","23.7"
"Spring wheat","1997","Crop Yield per Hectare","Tonnes","6.8"
"Spring wheat","1997","Crop Yield","000 Tonnes","161.2"
"Spring wheat","1998","Area under Crops","000 Hectares","18.4"
"Spring wheat","1998","Crop Yield per Hectare","Tonnes","7.7"
"Spring wheat","1998","Crop Yield","000 Tonnes","141.1"
