"STATISTIC Label","Year","Type of Land Use","Region","UNIT","VALUE"
"Area Farmed in June (1991 - 2007)","2000","Winter wheat","South-West","000 Hectares","4.9"
"Area Farmed in June (1991 - 2007)","2000","Spring wheat","State","000 Hectares","19.1"
"Area Farmed in June (1991 - 2007)","2000","Spring wheat","Border","000 Hectares","0.5"
"Area Farmed in June (1991 - 2007)","2000","Spring wheat","Midland","000 Hectares","1"
"Area Farmed in June (1991 - 2007)","2000","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2000","Spring wheat","Dublin plus Mid East","000 Hectares","5.5"
"Area Farmed in June (1991 - 2007)","2000","Spring wheat","Mid-West","000 Hectares","0.3"
"Area Farmed in June (1991 - 2007)","2000","Spring wheat","South-East","000 Hectares","7.8"
"Area Farmed in June (1991 - 2007)","2000","Spring wheat","South-West","000 Hectares","4.1"
"Area Farmed in June (1991 - 2007)","2001","Total cereals","State","000 Hectares","285.9"
"Area Farmed in June (1991 - 2007)","2001","Total cereals","Border","000 Hectares","25.4"
"Area Farmed in June (1991 - 2007)","2001","Total cereals","Midland","000 Hectares","27.9"
"Area Farmed in June (1991 - 2007)","2001","Total cereals","West","000 Hectares","5.1"
"Area Farmed in June (1991 - 2007)","2001","Total cereals","Dublin plus Mid East","000 Hectares","73.4"
"Area Farmed in June (1991 - 2007)","2001","Total cereals","Mid-West","000 Hectares","10.9"
"Area Farmed in June (1991 - 2007)","2001","Total cereals","South-East","000 Hectares","99.5"
"Area Farmed in June (1991 - 2007)","2001","Total cereals","South-West","000 Hectares","43.6"
"Area Farmed in June (1991 - 2007)","2001","Total wheat","State","000 Hectares","84.9"
"Area Farmed in June (1991 - 2007)","2001","Total wheat","Border","000 Hectares","7.4"
"Area Farmed in June (1991 - 2007)","2001","Total wheat","Midland","000 Hectares","4.3"
"Area Farmed in June (1991 - 2007)","2001","Total wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2001","Total wheat","Dublin plus Mid East","000 Hectares","38.4"
"Area Farmed in June (1991 - 2007)","2001","Total wheat","Mid-West","000 Hectares","0.9"
"Area Farmed in June (1991 - 2007)","2001","Total wheat","South-East","000 Hectares","23.4"
"Area Farmed in June (1991 - 2007)","2001","Total wheat","South-West","000 Hectares","10.4"
"Area Farmed in June (1991 - 2007)","2001","Winter wheat","State","000 Hectares","49.9"
"Area Farmed in June (1991 - 2007)","2001","Winter wheat","Border","000 Hectares","6.4"
"Area Farmed in June (1991 - 2007)","2001","Winter wheat","Midland","000 Hectares","2.4"
"Area Farmed in June (1991 - 2007)","2001","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2001","Winter wheat","Dublin plus Mid East","000 Hectares","26.5"
"Area Farmed in June (1991 - 2007)","2001","Winter wheat","Mid-West","000 Hectares","0.3"
"Area Farmed in June (1991 - 2007)","2001","Winter wheat","South-East","000 Hectares","9.4"
"Area Farmed in June (1991 - 2007)","2001","Winter wheat","South-West","000 Hectares","4.8"
"Area Farmed in June (1991 - 2007)","2001","Spring wheat","State","000 Hectares","35"
"Area Farmed in June (1991 - 2007)","2001","Spring wheat","Border","000 Hectares","0.9"
"Area Farmed in June (1991 - 2007)","2001","Spring wheat","Midland","000 Hectares","1.9"
"Area Farmed in June (1991 - 2007)","2001","Spring wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","2001","Spring wheat","Dublin plus Mid East","000 Hectares","11.9"
"Area Farmed in June (1991 - 2007)","2001","Spring wheat","Mid-West","000 Hectares","0.7"
"Area Farmed in June (1991 - 2007)","2001","Spring wheat","South-East","000 Hectares","14.1"
"Area Farmed in June (1991 - 2007)","2001","Spring wheat","South-West","000 Hectares","5.6"
"Area Farmed in June (1991 - 2007)","2002","Total cereals","State","000 Hectares","299.3"
"Area Farmed in June (1991 - 2007)","2002","Total cereals","Border","000 Hectares","26.5"
"Area Farmed in June (1991 - 2007)","2002","Total cereals","Midland","000 Hectares","28.6"
"Area Farmed in June (1991 - 2007)","2002","Total cereals","West","000 Hectares","5.1"
"Area Farmed in June (1991 - 2007)","2002","Total cereals","Dublin plus Mid East","000 Hectares","77.5"
"Area Farmed in June (1991 - 2007)","2002","Total cereals","Mid-West","000 Hectares","10.9"
"Area Farmed in June (1991 - 2007)","2002","Total cereals","South-East","000 Hectares","104.2"
"Area Farmed in June (1991 - 2007)","2002","Total cereals","South-West","000 Hectares","46.4"
"Area Farmed in June (1991 - 2007)","2002","Total wheat","State","000 Hectares","102.7"
"Area Farmed in June (1991 - 2007)","2002","Total wheat","Border","000 Hectares","9.1"
"Area Farmed in June (1991 - 2007)","2002","Total wheat","Midland","000 Hectares","4.8"
"Area Farmed in June (1991 - 2007)","2002","Total wheat","West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","2002","Total wheat","Dublin plus Mid East","000 Hectares","44"
"Area Farmed in June (1991 - 2007)","2002","Total wheat","Mid-West","000 Hectares","1.1"
"Area Farmed in June (1991 - 2007)","2002","Total wheat","South-East","000 Hectares","30.3"
"Area Farmed in June (1991 - 2007)","2002","Total wheat","South-West","000 Hectares","13.2"
"Area Farmed in June (1991 - 2007)","2002","Winter wheat","State","000 Hectares","80"
"Area Farmed in June (1991 - 2007)","2002","Winter wheat","Border","000 Hectares","8.7"
"Area Farmed in June (1991 - 2007)","2002","Winter wheat","Midland","000 Hectares","3.6"
"Area Farmed in June (1991 - 2007)","2002","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2002","Winter wheat","Dublin plus Mid East","000 Hectares","39.5"
"Area Farmed in June (1991 - 2007)","2002","Winter wheat","Mid-West","000 Hectares","0.7"
"Area Farmed in June (1991 - 2007)","2002","Winter wheat","South-East","000 Hectares","18.2"
"Area Farmed in June (1991 - 2007)","2002","Winter wheat","South-West","000 Hectares","9.1"
"Area Farmed in June (1991 - 2007)","2002","Spring wheat","State","000 Hectares","22.7"
"Area Farmed in June (1991 - 2007)","2002","Spring wheat","Border","000 Hectares","0.4"
"Area Farmed in June (1991 - 2007)","2002","Spring wheat","Midland","000 Hectares","1.2"
"Area Farmed in June (1991 - 2007)","2002","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2002","Spring wheat","Dublin plus Mid East","000 Hectares","4.4"
"Area Farmed in June (1991 - 2007)","2002","Spring wheat","Mid-West","000 Hectares","0.4"
"Area Farmed in June (1991 - 2007)","2002","Spring wheat","South-East","000 Hectares","12.1"
"Area Farmed in June (1991 - 2007)","2002","Spring wheat","South-West","000 Hectares","4.1"
"Area Farmed in June (1991 - 2007)","2003","Total cereals","State","000 Hectares","302.9"
"Area Farmed in June (1991 - 2007)","2003","Total cereals","Border","000 Hectares","27.2"
"Area Farmed in June (1991 - 2007)","2003","Total cereals","Midland","000 Hectares","29.6"
"Area Farmed in June (1991 - 2007)","2003","Total cereals","West","000 Hectares","5.1"
"Area Farmed in June (1991 - 2007)","2003","Total cereals","Dublin plus Mid East","000 Hectares","76.1"
"Area Farmed in June (1991 - 2007)","2003","Total cereals","Mid-West","000 Hectares","10.5"
"Area Farmed in June (1991 - 2007)","2003","Total cereals","South-East","000 Hectares","105.3"
"Area Farmed in June (1991 - 2007)","2003","Total cereals","South-West","000 Hectares","49.1"
"Area Farmed in June (1991 - 2007)","2003","Total wheat","State","000 Hectares","95.7"
"Area Farmed in June (1991 - 2007)","2003","Total wheat","Border","000 Hectares","7.7"
"Area Farmed in June (1991 - 2007)","2003","Total wheat","Midland","000 Hectares","5.6"
"Area Farmed in June (1991 - 2007)","2003","Total wheat","West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","2003","Total wheat","Dublin plus Mid East","000 Hectares","41.4"
"Area Farmed in June (1991 - 2007)","2003","Total wheat","Mid-West","000 Hectares","1.8"
"Area Farmed in June (1991 - 2007)","2003","Total wheat","South-East","000 Hectares","26.1"
"Area Farmed in June (1991 - 2007)","2003","Total wheat","South-West","000 Hectares","12.9"
"Area Farmed in June (1991 - 2007)","2003","Winter wheat","State","000 Hectares","60.6"
"Area Farmed in June (1991 - 2007)","2003","Winter wheat","Border","000 Hectares","6.8"
"Area Farmed in June (1991 - 2007)","2003","Winter wheat","Midland","000 Hectares","2.5"
"Area Farmed in June (1991 - 2007)","2003","Winter wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","2003","Winter wheat","Dublin plus Mid East","000 Hectares","30.2"
"Area Farmed in June (1991 - 2007)","2003","Winter wheat","Mid-West","000 Hectares","0.8"
"Area Farmed in June (1991 - 2007)","2003","Winter wheat","South-East","000 Hectares","13.6"
"Area Farmed in June (1991 - 2007)","2003","Winter wheat","South-West","000 Hectares","6.5"
"Area Farmed in June (1991 - 2007)","2003","Spring wheat","State","000 Hectares","35.2"
"Area Farmed in June (1991 - 2007)","2003","Spring wheat","Border","000 Hectares","0.9"
"Area Farmed in June (1991 - 2007)","2003","Spring wheat","Midland","000 Hectares","3.1"
"Area Farmed in June (1991 - 2007)","2003","Spring wheat","West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","2003","Spring wheat","Dublin plus Mid East","000 Hectares","11.1"
"Area Farmed in June (1991 - 2007)","2003","Spring wheat","Mid-West","000 Hectares","0.9"
"Area Farmed in June (1991 - 2007)","2003","Spring wheat","South-East","000 Hectares","12.5"
"Area Farmed in June (1991 - 2007)","2003","Spring wheat","South-West","000 Hectares","6.4"
"Area Farmed in June (1991 - 2007)","2004","Total cereals","State","000 Hectares","310.2"
"Area Farmed in June (1991 - 2007)","2004","Total cereals","Border","000 Hectares","27.2"
"Area Farmed in June (1991 - 2007)","2004","Total cereals","Midland","000 Hectares","31.2"
"Area Farmed in June (1991 - 2007)","2004","Total cereals","West","000 Hectares","4.7"
"Area Farmed in June (1991 - 2007)","2004","Total cereals","Dublin plus Mid East","000 Hectares","77.7"
"Area Farmed in June (1991 - 2007)","2004","Total cereals","Mid-West","000 Hectares","11"
"Area Farmed in June (1991 - 2007)","2004","Total cereals","South-East","000 Hectares","107.1"
"Area Farmed in June (1991 - 2007)","2004","Total cereals","South-West","000 Hectares","51.4"
"Area Farmed in June (1991 - 2007)","2004","Total wheat","State","000 Hectares","102.7"
"Area Farmed in June (1991 - 2007)","2004","Total wheat","Border","000 Hectares","8.7"
"Area Farmed in June (1991 - 2007)","2004","Total wheat","Midland","000 Hectares","6.8"
"Area Farmed in June (1991 - 2007)","2004","Total wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2004","Total wheat","Dublin plus Mid East","000 Hectares","41.9"
"Area Farmed in June (1991 - 2007)","2004","Total wheat","Mid-West","000 Hectares","2"
"Area Farmed in June (1991 - 2007)","2004","Total wheat","South-East","000 Hectares","27.2"
"Area Farmed in June (1991 - 2007)","2004","Total wheat","South-West","000 Hectares","16"
"Area Farmed in June (1991 - 2007)","2004","Winter wheat","State","000 Hectares","71.5"
"Area Farmed in June (1991 - 2007)","2004","Winter wheat","Border","000 Hectares","8"
"Area Farmed in June (1991 - 2007)","2004","Winter wheat","Midland","000 Hectares","3.5"
"Area Farmed in June (1991 - 2007)","2004","Winter wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","2004","Winter wheat","Dublin plus Mid East","000 Hectares","35.6"
"Area Farmed in June (1991 - 2007)","2004","Winter wheat","Mid-West","000 Hectares","0.8"
"Area Farmed in June (1991 - 2007)","2004","Winter wheat","South-East","000 Hectares","15"
"Area Farmed in June (1991 - 2007)","2004","Winter wheat","South-West","000 Hectares","8.6"
"Area Farmed in June (1991 - 2007)","2004","Spring wheat","State","000 Hectares","31.2"
"Area Farmed in June (1991 - 2007)","2004","Spring wheat","Border","000 Hectares","0.7"
"Area Farmed in June (1991 - 2007)","2004","Spring wheat","Midland","000 Hectares","3.4"
"Area Farmed in June (1991 - 2007)","2004","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2004","Spring wheat","Dublin plus Mid East","000 Hectares","6.3"
"Area Farmed in June (1991 - 2007)","2004","Spring wheat","Mid-West","000 Hectares","1.2"
"Area Farmed in June (1991 - 2007)","2004","Spring wheat","South-East","000 Hectares","12.2"
"Area Farmed in June (1991 - 2007)","2004","Spring wheat","South-West","000 Hectares","7.5"
"Area Farmed in June (1991 - 2007)","2005","Total cereals","State","000 Hectares","282"
"Area Farmed in June (1991 - 2007)","2005","Total cereals","Border","000 Hectares","25.4"
"Area Farmed in June (1991 - 2007)","2005","Total cereals","Midland","000 Hectares","26.6"
"Area Farmed in June (1991 - 2007)","2005","Total cereals","West","000 Hectares","4.1"
"Area Farmed in June (1991 - 2007)","2005","Total cereals","Dublin plus Mid East","000 Hectares","73"
"Area Farmed in June (1991 - 2007)","2005","Total cereals","Mid-West","000 Hectares","9.3"
"Area Farmed in June (1991 - 2007)","2005","Total cereals","South-East","000 Hectares","98.2"
"Area Farmed in June (1991 - 2007)","2005","Total cereals","South-West","000 Hectares","45.4"
"Area Farmed in June (1991 - 2007)","2005","Total wheat","State","000 Hectares","95.2"
"Area Farmed in June (1991 - 2007)","2005","Total wheat","Border","000 Hectares","7.9"
"Area Farmed in June (1991 - 2007)","2005","Total wheat","Midland","000 Hectares","5.8"
"Area Farmed in June (1991 - 2007)","2005","Total wheat","West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","2005","Total wheat","Dublin plus Mid East","000 Hectares","40.2"
"Area Farmed in June (1991 - 2007)","2005","Total wheat","Mid-West","000 Hectares","1.7"
"Area Farmed in June (1991 - 2007)","2005","Total wheat","South-East","000 Hectares","26.1"
"Area Farmed in June (1991 - 2007)","2005","Total wheat","South-West","000 Hectares","13.4"
"Area Farmed in June (1991 - 2007)","2005","Winter wheat","State","000 Hectares","65"
"Area Farmed in June (1991 - 2007)","2005","Winter wheat","Border","000 Hectares","7.4"
"Area Farmed in June (1991 - 2007)","2005","Winter wheat","Midland","000 Hectares","2.9"
"Area Farmed in June (1991 - 2007)","2005","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2005","Winter wheat","Dublin plus Mid East","000 Hectares","31.7"
"Area Farmed in June (1991 - 2007)","2005","Winter wheat","Mid-West","000 Hectares","0.7"
"Area Farmed in June (1991 - 2007)","2005","Winter wheat","South-East","000 Hectares","15"
"Area Farmed in June (1991 - 2007)","2005","Winter wheat","South-West","000 Hectares","7.2"
"Area Farmed in June (1991 - 2007)","2005","Spring wheat","State","000 Hectares","30.2"
"Area Farmed in June (1991 - 2007)","2005","Spring wheat","Border","000 Hectares","0.5"
"Area Farmed in June (1991 - 2007)","2005","Spring wheat","Midland","000 Hectares","2.9"
"Area Farmed in June (1991 - 2007)","2005","Spring wheat","West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","2005","Spring wheat","Dublin plus Mid East","000 Hectares","8.4"
"Area Farmed in June (1991 - 2007)","2005","Spring wheat","Mid-West","000 Hectares","1"
"Area Farmed in June (1991 - 2007)","2005","Spring wheat","South-East","000 Hectares","11.1"
"Area Farmed in June (1991 - 2007)","2005","Spring wheat","South-West","000 Hectares","6.2"
"Area Farmed in June (1991 - 2007)","2006","Total cereals","State","000 Hectares","279.8"
"Area Farmed in June (1991 - 2007)","2006","Total cereals","Border","000 Hectares","24.2"
"Area Farmed in June (1991 - 2007)","2006","Total cereals","Midland","000 Hectares","28"
"Area Farmed in June (1991 - 2007)","2006","Total cereals","West","000 Hectares","3.6"
"Area Farmed in June (1991 - 2007)","2006","Total cereals","Dublin plus Mid East","000 Hectares","69.8"
"Area Farmed in June (1991 - 2007)","2006","Total cereals","Mid-West","000 Hectares","8.5"
"Area Farmed in June (1991 - 2007)","2006","Total cereals","South-East","000 Hectares","99.6"
"Area Farmed in June (1991 - 2007)","2006","Total cereals","South-West","000 Hectares","46"
"Area Farmed in June (1991 - 2007)","2006","Total wheat","State","000 Hectares","87.5"
"Area Farmed in June (1991 - 2007)","2006","Total wheat","Border","000 Hectares","7.8"
"Area Farmed in June (1991 - 2007)","2006","Total wheat","Midland","000 Hectares","5.4"
"Area Farmed in June (1991 - 2007)","2006","Total wheat","West","000 Hectares","0.3"
"Area Farmed in June (1991 - 2007)","2006","Total wheat","Dublin plus Mid East","000 Hectares","36.4"
"Area Farmed in June (1991 - 2007)","2006","Total wheat","Mid-West","000 Hectares","1.6"
"Area Farmed in June (1991 - 2007)","2006","Total wheat","South-East","000 Hectares","23.5"
"Area Farmed in June (1991 - 2007)","2006","Total wheat","South-West","000 Hectares","12.5"
"Area Farmed in June (1991 - 2007)","2006","Winter wheat","State","000 Hectares","59.2"
"Area Farmed in June (1991 - 2007)","2006","Winter wheat","Border","000 Hectares","7.2"
"Area Farmed in June (1991 - 2007)","2006","Winter wheat","Midland","000 Hectares","2.8"
"Area Farmed in June (1991 - 2007)","2006","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2006","Winter wheat","Dublin plus Mid East","000 Hectares","30.8"
"Area Farmed in June (1991 - 2007)","2006","Winter wheat","Mid-West","000 Hectares","0.5"
"Area Farmed in June (1991 - 2007)","2006","Winter wheat","South-East","000 Hectares","12.4"
"Area Farmed in June (1991 - 2007)","2006","Winter wheat","South-West","000 Hectares","5.5"
"Area Farmed in June (1991 - 2007)","2006","Spring wheat","State","000 Hectares","28.3"
"Area Farmed in June (1991 - 2007)","2006","Spring wheat","Border","000 Hectares","0.6"
"Area Farmed in June (1991 - 2007)","2006","Spring wheat","Midland","000 Hectares","2.6"
"Area Farmed in June (1991 - 2007)","2006","Spring wheat","West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","2006","Spring wheat","Dublin plus Mid East","000 Hectares","5.6"
"Area Farmed in June (1991 - 2007)","2006","Spring wheat","Mid-West","000 Hectares","1.2"
"Area Farmed in June (1991 - 2007)","2006","Spring wheat","South-East","000 Hectares","11.2"
"Area Farmed in June (1991 - 2007)","2006","Spring wheat","South-West","000 Hectares","7"
"Area Farmed in June (1991 - 2007)","2007","Total cereals","State","000 Hectares","278.9"
"Area Farmed in June (1991 - 2007)","2007","Total cereals","Border","000 Hectares","24.7"
"Area Farmed in June (1991 - 2007)","2007","Total cereals","Midland","000 Hectares","26.9"
"Area Farmed in June (1991 - 2007)","2007","Total cereals","West","000 Hectares","3.7"
"Area Farmed in June (1991 - 2007)","2007","Total cereals","Dublin plus Mid East","000 Hectares","71.9"
"Area Farmed in June (1991 - 2007)","2007","Total cereals","Mid-West","000 Hectares","8.8"
"Area Farmed in June (1991 - 2007)","2007","Total cereals","South-East","000 Hectares","98.2"
"Area Farmed in June (1991 - 2007)","2007","Total cereals","South-West","000 Hectares","44.6"
"Area Farmed in June (1991 - 2007)","2007","Total wheat","State","000 Hectares","84.3"
"Area Farmed in June (1991 - 2007)","2007","Total wheat","Border","000 Hectares","7.8"
"Area Farmed in June (1991 - 2007)","2007","Total wheat","Midland","000 Hectares","4.3"
"Area Farmed in June (1991 - 2007)","2007","Total wheat","West","000 Hectares","0.3"
"Area Farmed in June (1991 - 2007)","2007","Total wheat","Dublin plus Mid East","000 Hectares","36.9"
"Area Farmed in June (1991 - 2007)","2007","Total wheat","Mid-West","000 Hectares","1.7"
"Area Farmed in June (1991 - 2007)","2007","Total wheat","South-East","000 Hectares","21.6"
"Area Farmed in June (1991 - 2007)","2007","Total wheat","South-West","000 Hectares","11.6"
"Area Farmed in June (1991 - 2007)","2007","Winter wheat","State","000 Hectares","64.7"
"Area Farmed in June (1991 - 2007)","2007","Winter wheat","Border","000 Hectares","7.3"
"Area Farmed in June (1991 - 2007)","2007","Winter wheat","Midland","000 Hectares","3.3"
"Area Farmed in June (1991 - 2007)","2007","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2007","Winter wheat","Dublin plus Mid East","000 Hectares","32.7"
"Area Farmed in June (1991 - 2007)","2007","Winter wheat","Mid-West","000 Hectares","0.6"
"Area Farmed in June (1991 - 2007)","2007","Winter wheat","South-East","000 Hectares","13.9"
"Area Farmed in June (1991 - 2007)","2007","Winter wheat","South-West","000 Hectares","6.8"
"Area Farmed in June (1991 - 2007)","2007","Spring wheat","State","000 Hectares","19.6"
"Area Farmed in June (1991 - 2007)","2007","Spring wheat","Border","000 Hectares","0.6"
"Area Farmed in June (1991 - 2007)","2007","Spring wheat","Midland","000 Hectares","1"
"Area Farmed in June (1991 - 2007)","2007","Spring wheat","West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","2007","Spring wheat","Dublin plus Mid East","000 Hectares","4.2"
"Area Farmed in June (1991 - 2007)","2007","Spring wheat","Mid-West","000 Hectares","1.2"
"Area Farmed in June (1991 - 2007)","2007","Spring wheat","South-East","000 Hectares","7.7"
"Area Farmed in June (1991 - 2007)","2007","Spring wheat","South-West","000 Hectares","4.8"
