"STATISTIC Label","Year","Type of Land Use","Region","UNIT","VALUE"
"Area Farmed in June","2016","Total cereals","South-West","000 Hectares","40.379"
"Area Farmed in June","2016","Total cereals","Eastern and Midland","000 Hectares","127.701"
"Area Farmed in June","2016","Total cereals","Dublin and Mid-East","000 Hectares","97.693"
"Area Farmed in June","2016","Total cereals","Midland","000 Hectares","30.008"
"Area Farmed in June","2016","Total wheat","State","000 Hectares","67.922"
"Area Farmed in June","2016","Total wheat","Northern and Western","000 Hectares","0.922"
"Area Farmed in June","2016","Total wheat","Border","000 Hectares","0.62"
"Area Farmed in June","2016","Total wheat","West","000 Hectares","0.302"
"Area Farmed in June","2016","Total wheat","Southern","000 Hectares","23.34"
"Area Farmed in June","2016","Total wheat","Mid-West","000 Hectares","4.91"
"Area Farmed in June","2016","Total wheat","South-East","000 Hectares","12.054"
"Area Farmed in June","2016","Total wheat","South-West","000 Hectares","6.376"
"Area Farmed in June","2016","Total wheat","Eastern and Midland","000 Hectares","43.66"
"Area Farmed in June","2016","Total wheat","Dublin and Mid-East","000 Hectares","38.725"
"Area Farmed in June","2016","Total wheat","Midland","000 Hectares","4.935"
"Area Farmed in June","2016","Winter wheat","State","000 Hectares","60.393"
"Area Farmed in June","2016","Winter wheat","Northern and Western","000 Hectares","0.759"
"Area Farmed in June","2016","Winter wheat","Border","000 Hectares","0.525"
"Area Farmed in June","2016","Winter wheat","West","000 Hectares","0.234"
"Area Farmed in June","2016","Winter wheat","Southern","000 Hectares","18.689"
"Area Farmed in June","2016","Winter wheat","Mid-West","000 Hectares","4.345"
"Area Farmed in June","2016","Winter wheat","South-East","000 Hectares","10.2"
"Area Farmed in June","2016","Winter wheat","South-West","000 Hectares","4.144"
"Area Farmed in June","2016","Winter wheat","Eastern and Midland","000 Hectares","40.944"
"Area Farmed in June","2016","Winter wheat","Dublin and Mid-East","000 Hectares","36.538"
"Area Farmed in June","2016","Winter wheat","Midland","000 Hectares","4.407"
"Area Farmed in June","2016","Spring wheat","State","000 Hectares","7.529"
"Area Farmed in June","2016","Spring wheat","Northern and Western","000 Hectares","0.163"
"Area Farmed in June","2016","Spring wheat","Border","000 Hectares","0.094"
"Area Farmed in June","2016","Spring wheat","West","000 Hectares","0.068"
"Area Farmed in June","2016","Spring wheat","Southern","000 Hectares","4.651"
"Area Farmed in June","2016","Spring wheat","Mid-West","000 Hectares","0.565"
"Area Farmed in June","2016","Spring wheat","South-East","000 Hectares","1.854"
"Area Farmed in June","2016","Spring wheat","South-West","000 Hectares","2.232"
"Area Farmed in June","2016","Spring wheat","Eastern and Midland","000 Hectares","2.715"
"Area Farmed in June","2016","Spring wheat","Dublin and Mid-East","000 Hectares","2.187"
"Area Farmed in June","2016","Spring wheat","Midland","000 Hectares","0.528"
"Area Farmed in June","2017","Total cereals","State","000 Hectares","272.4"
"Area Farmed in June","2017","Total cereals","Northern and Western","000 Hectares","9.3"
"Area Farmed in June","2017","Total cereals","Border","000 Hectares","5.1"
"Area Farmed in June","2017","Total cereals","West","000 Hectares","4.2"
"Area Farmed in June","2017","Total cereals","Southern","000 Hectares","138.7"
"Area Farmed in June","2017","Total cereals","Mid-West","000 Hectares","22.3"
"Area Farmed in June","2017","Total cereals","South-East","000 Hectares","77.8"
"Area Farmed in June","2017","Total cereals","South-West","000 Hectares","38.6"
"Area Farmed in June","2017","Total cereals","Eastern and Midland","000 Hectares","124.5"
"Area Farmed in June","2017","Total cereals","Dublin and Mid-East","000 Hectares","94.8"
"Area Farmed in June","2017","Total cereals","Midland","000 Hectares","29.7"
"Area Farmed in June","2017","Total wheat","State","000 Hectares","67"
"Area Farmed in June","2017","Total wheat","Northern and Western","000 Hectares","1"
"Area Farmed in June","2017","Total wheat","Border","000 Hectares","0.7"
"Area Farmed in June","2017","Total wheat","West","000 Hectares","0.3"
"Area Farmed in June","2017","Total wheat","Southern","000 Hectares","22.9"
"Area Farmed in June","2017","Total wheat","Mid-West","000 Hectares","4.6"
"Area Farmed in June","2017","Total wheat","South-East","000 Hectares","12.2"
